latitude,longitude,Artwork ID
40.77877209,-73.96449784,33599
40.77864303,-73.96386916,64139
40.77910248,-73.96363894,5659
40.77841612,-73.96383036,6069
40.77881102,-73.96460796,9170
40.7791203,-73.96407215,10137
40.77885899,-73.96396356,10138
40.77844142,-73.96410888,10383
40.77825427,-73.96355454,10411
40.78058848,-73.96328026,11419
40.78010647,-73.96305284,12336
40.78000596,-73.96335474,12337
40.77865065,-73.96362554,12338
40.77883,-73.96420577,12339
40.77968364,-73.96325966,12340
40.77864138,-73.96389526,12341
40.78018113,-73.961987,12342
40.78054442,-73.96262324,12343
40.77891408,-73.96454297,13390
40.77987569,-73.96336942,14475
40.77899866,-73.9635362,14579
40.77879546,-73.96408287,14580
40.77892046,-73.9643088,14581
40.78033212,-73.96333388,14582
40.77842221,-73.96427065,14583
40.78015723,-73.96257218,14584
40.78018519,-73.96313884,14585
40.77832407,-73.96368463,14586
40.78029808,-73.96315992,14587
40.7798389,-73.96282001,14588
40.77920967,-73.96359293,14589
40.78035437,-73.96221223,15045
40.7805843,-73.96327639,15046
40.78029217,-73.96293656,15047
40.77895683,-73.96372292,15048
40.77834458,-73.96382972,15049
40.78052893,-73.96266985,15050
40.77892801,-73.96353967,15051
40.77866054,-73.96417094,15052
40.78046021,-73.96317783,16022
40.77808049,-73.96367595,16023
40.77804925,-73.96357344,16421
40.77960056,-73.96320822,18408
40.77853552,-73.96431745,18409
40.77880531,-73.96418289,19631
40.77869896,-73.96379984,20134
40.78012402,-73.96325098,20135
40.77994965,-73.96319148,20163
40.78043106,-73.96256779,20164
40.77994974,-73.96286446,20165
40.77848648,-73.96427566,20166
40.77839557,-73.96433874,20167
40.77862683,-73.96391902,20169
40.77832308,-73.96368076,20170
40.77878346,-73.96363096,20171
40.78004344,-73.96249326,20172
40.77853987,-73.96444696,20173
40.78020196,-73.96240722,20174
40.77933067,-73.96351129,20175
40.7783457,-73.96399011,20176
40.77910732,-73.96367466,20178
40.7789533,-73.96385658,20179
40.77849617,-73.96391677,20180
40.77812787,-73.96359499,20181
40.77922847,-73.96347967,20182
40.78043123,-73.96288462,20183
40.7785441,-73.96361407,20184
40.7803525,-73.96207236,20185
40.78021207,-73.96323084,20186
40.77883129,-73.96421802,20187
40.77875871,-73.96359513,20188
40.77809076,-73.96370973,20189
40.78047047,-73.96326618,20190
40.77998185,-73.96315719,20191
40.78060773,-73.96328917,20192
40.77993743,-73.96338231,20193
40.77877951,-73.96418687,20194
40.77875526,-73.96457098,20195
40.78044244,-73.96244323,20196
40.77817881,-73.96385879,20197
40.77909722,-73.9639827,20198
40.78048839,-73.96249068,20199
40.78039826,-73.96303192,20200
40.78027861,-73.96192861,20201
40.78046677,-73.96300934,20202
40.77868403,-73.96481381,20203
40.77905008,-73.96423388,20204
40.77846044,-73.96408447,20205
40.77915187,-73.96385049,20206
40.77889325,-73.96380958,20207
40.77952152,-73.96340853,20208
40.77986479,-73.96334101,20209
40.78065973,-73.96326005,20210
40.78030521,-73.96327789,20211
40.77985524,-73.96321101,20212
40.77993522,-73.9631165,20213
40.78072263,-73.96322735,20214
40.78013723,-73.96300193,20215
40.77846241,-73.96426038,20216
40.77806839,-73.96368171,20217
40.77880584,-73.96452422,20218
40.77886199,-73.96369909,20219
40.78071775,-73.96321171,20220
40.7799305,-73.96344333,20221
40.78006238,-73.96331493,20222
40.77870748,-73.96435256,20223
40.78053753,-73.96345714,20224
40.77822314,-73.96352628,20225
40.78010432,-73.96333442,20226
40.78037683,-73.96273489,20227
40.77820038,-73.96368554,20228
40.77927771,-73.96386379,20229
40.77917569,-73.9636559,20230
40.77892303,-73.96437105,20231
40.78039216,-73.96229088,20232
40.78087407,-73.96347754,20233
40.7795547,-73.96344112,20234
40.77856342,-73.96344753,20238
40.78037404,-73.96268724,29738
40.78016792,-73.96310744,31676
40.78023699,-73.96323461,31859
40.77873917,-73.96412722,33669
40.77903504,-73.96388176,34023
40.77905765,-73.96380541,37013
40.77898219,-73.96393387,37166
40.78006368,-73.96270013,60550
40.77897501,-73.96400023,60680
40.77847773,-73.96356195,64332
40.7806563,-73.96284649,66019
40.77859945,-73.96412658,71402
40.78028375,-73.96287332,71403
40.7790195,-73.9641488,71404
40.77961941,-73.96344791,71405
40.78014991,-73.96308372,71406
40.78021089,-73.96277161,71407
40.78007383,-73.96230695,74176
40.7799826,-73.96294599,78687
40.77913346,-73.96374422,79757
40.77850839,-73.96380701,79995
40.78010505,-73.96316044,80686
40.78023472,-73.96270501,80760
40.78081136,-73.96336642,80902
